,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
MT-TW,12.44879,12.00952,11.3767,11.81255,12.52129,10.44051,9.648583
FAM87B,5.274283,5.333667,5.268911,5.386065,5.412745,5.12304,5.3994
LINC01128,6.851241,7.186741,7.309896,6.972335,6.835893,7.07612,7.12984
SAMD11,7.039639,6.898051,6.956669,6.990489,6.992803,6.711484,7.038046
KLHL17,6.969383,7.186172,6.92802,6.920598,6.74019,6.780779,7.092916
PLEKHN1,7.26495,7.205801,7.205231,7.192934,7.031677,7.150862,7.27651
ISG15,6.672697,6.752956,6.981909,6.859232,6.829934,6.754261,6.656688
AGRN,8.181187,8.213867,8.871653,8.061165,8.161152,8.323472,7.993461
MIR200B,6.566747,6.632423,6.485383,6.436675,6.217794,6.204172,6.383605
MIR200A,4.125203,4.845417,4.60326,4.144578,4.427989,4.215594,5.112172
MIR429,6.148567,6.31733,6.03746,5.823208,6.387366,6.236471,6.069349
TTLL10,7.107468,7.199899,7.208455,7.139585,7.19126,7.167677,7.105867
B3GALT6,7.350735,7.500572,7.490457,7.350518,7.406363,7.420849,7.608183
SCNN1D,6.398828,6.744715,6.414073,6.417008,6.417063,6.414797,6.60811
PUSL1,7.246295,7.476955,7.76032,7.448449,7.346949,7.70405,7.592843
TAS1R3,6.734943,6.947131,6.832962,6.871634,6.745959,6.575788,6.795921
VWA1,7.996214,8.111466,8.072222,7.961494,7.882139,8.104224,8.093357
ATAD3C,6.644379,6.802651,7.051913,6.729705,6.719112,6.97418,7.077124
ATAD3A,7.854424,7.884506,8.184652,7.945227,7.69098,7.900551,8.122959
ATAD3B,7.28124,7.429115,7.813937,7.357107,7.371578,7.504634,7.59135
MIB2,7.154403,7.27073,7.178207,7.159151,6.970895,7.230093,7.336357
MMP23B,7.970472,7.942374,8.020503,7.968277,7.891349,7.678238,8.064393
CALML6,5.664056,5.89586,5.580761,5.502494,5.698837,5.756225,5.866568
GABRD,6.643632,6.968997,6.858945,6.880037,6.837128,6.499777,7.006366
PRKCZ,8.191073,8.132797,7.843328,8.353015,8.296637,8.620489,8.230666
SKI,8.851607,8.953207,9.042867,9.036859,9.069309,9.106487,9.206349
RER1,9.606646,9.635894,9.744667,9.695702,9.722891,9.871402,9.651904
PLCH2,7.831582,7.998087,7.272554,7.840339,7.983759,7.90167,7.673986
FAM213B,8.096509,8.078287,8.076472,7.97045,7.985898,8.205301,8.063076
ACTRT2,6.112339,6.103325,5.966846,5.886638,5.819954,5.9621,5.909843
PRDM16,6.948044,6.93839,6.964537,6.816298,7.169442,7.471797,7.533503
ARHGEF16,7.249502,7.328786,6.983606,7.161713,7.088472,7.264725,7.241373
TPRG1L,10.14066,10.17198,9.591219,9.909412,10.00994,10.13545,9.941084
TP73,6.525464,6.622492,6.687197,6.481128,6.559767,6.318086,6.515391
CCDC27,6.175177,6.19144,5.912543,6.166583,5.919544,5.709166,6.027352
DFFB,6.889298,7.278165,7.133934,7.047165,6.965427,7.472665,7.305957
AJAP1,7.660365,8.465358,8.037396,7.745041,7.533861,7.669753,7.22683
KCNAB2,9.006852,8.998783,7.798768,8.874726,8.767003,9.030989,8.427077
LINC00337,5.930153,6.117389,6.024764,5.739084,6.161163,5.808585,5.814317
HES3,6.435239,6.511263,6.550237,6.403182,6.243593,6.214062,6.505391
LOC100130071,6.733139,6.923202,6.607136,6.933337,6.780397,6.714546,6.581929
ESPN,8.879449,8.860842,8.77489,8.900156,9.100932,9.086783,8.906554
RNU6-731P,6.542526,6.687094,6.489696,6.689717,6.491455,7.093038,7.205615
TAS1R1,5.895532,5.891939,5.738187,5.4355,5.78362,5.572601,5.66928
ZBTB48,6.723244,6.968704,6.766129,6.618678,6.844681,6.802918,6.98892
PHF13,6.727342,6.710087,6.832259,6.373618,6.66222,6.620714,6.969684
THAP3,6.446904,6.583002,6.679621,6.380829,6.397954,6.642951,6.86889
CAMTA1,7.314916,7.07881,7.537186,7.021589,6.908564,7.066984,6.765428
RNU1-8P,4.700457,4.76544,4.454542,4.800401,4.776023,4.659055,4.768633
VAMP3,9.590598,9.685517,9.968116,9.716912,9.714099,9.672361,9.924215
PER3,8.040931,8.432365,6.981818,8.072963,8.422262,8.519835,8.688576
PARK7,10.22328,10.17046,10.24554,10.28375,10.17305,10.73317,10.67407
SLC45A1,6.633328,6.797768,6.534611,6.477585,6.246319,6.475658,6.567658
HMGN2P17,5.680122,5.758969,5.662347,5.565879,5.696144,5.222437,5.314181
CA6,5.412482,5.377982,5.031766,5.125572,5.205028,5.264886,5.238495
H6PD,7.905458,7.975605,8.278666,7.970414,8.025343,7.980465,8.187629
SPSB1,7.567026,7.399856,7.383569,7.149298,6.728192,7.367323,7.711382
TMEM201,6.566652,6.734769,6.732025,6.645141,6.693062,6.765446,6.901175
PIK3CD,7.020821,6.988263,7.180458,7.183518,6.904771,7.224971,6.948143
NMNAT1,6.486225,6.455201,6.556552,6.615428,6.189935,6.468677,6.38563
RN7SKP269,7.848309,8.163195,7.933489,7.940849,8.149124,7.581957,7.544345
RBP7,6.277579,6.029048,5.978566,5.989508,6.425212,6.482268,7.07443
UBE4B,8.923679,8.939645,8.928627,8.815183,8.870495,8.846298,8.909623
RNU6-828P,3.925883,3.951331,3.903043,3.720511,4.116888,3.980035,4.004094
KIF1B,8.895244,9.013865,8.686527,8.775479,9.002407,8.923206,8.686938
PGD,9.98434,10.204,10.52327,10.17236,10.00661,10.51314,10.47283
APITD1-CORT,6.951316,6.99261,6.573728,6.857044,7.108907,7.106343,6.87709
PEX14,7.70569,7.764687,7.649678,7.610184,7.687281,7.892615,7.838432
RN7SL614P,7.725567,8.008296,7.63948,7.943003,7.772888,7.280859,7.463582
TARDBP,9.912241,9.82551,9.917912,9.998137,10.01084,9.615433,9.845943
ANGPTL7,5.392702,5.693508,5.158785,5.435814,5.373371,5.638796,5.804783
RNU6-291P,3.925478,3.723128,3.874766,3.931199,3.829102,3.916935,4.121256
UBIAD1,7.925536,8.211936,8.445619,8.02458,8.166018,8.464185,8.533552
PTCHD2,6.22089,6.033643,6.054675,5.934868,6.08255,5.919852,5.814877
