"","x"
"1","IFNG"
"2","LCP2"
"3","PRKCB"
"4","LCK"
"5","HCP5"
"6","CD3D"
"7","ITK"
"8","CELF2"
"9","B2M"
"10","IL10RA"
"11","CRTAM"
"12","CD8A"
"13","PSMB10"
"14","PLEK"
"15","CCL5"
"16","CD84"
"17","TMSB10"
"18","GZMK"
"19","GZMA"
"20","EZH2"
"21","ARL4C"
"22","GPR171"
"23","TARP"
"24","CXCR6"
"25","TNFAIP3"
"26","IFI16"
"27","RGS1"
"28","CD86"
"29","CD2"
"30","IRF1"
"31","ISG20"
"32","CTSS"
"33","CD3G"
"34","CCL4"
"35","APOBEC3G"
"36","PRLR"
"37","CASP4"
"38","BIRC3"
"39","FYB"
"40","TAP1"
"41","MICB"
"42","IFNAR2"
"43","STAT1"
"44","SLAMF1"
"45","APOBEC3F"
"46","MOCS1"
"47","STAT4"
"48","CD27"
"49","RUNX3"
"50","CD48"
"51","ZAP70"
"52","GPD1"
"53","ADCY7"
"54","ARHGAP25"
"55","F11"
"56","PRF1"
"57","XCL1"
"58","C1QB"
"59","CXCL9"
"60","ALB"
"61","PRODH2"
"62","PTPN2"
"63","CD96"
"64","CD52"
"65","ATP6V1B1"
"66","KLRD1"
"67","STAU1"
"68","CD53"
"69","LRP8"
"70","HRG"
"71","HOPX"
"72","ADA"
"73","CASP1"
"74","MAFF"
"75","HPD"
"76","HLA-DMB"
"77","RHOH"
"78","FANCI"
"79","PSMB9"
"80","LAIR2"
"81","GBP1"
"82","PTPN22"
"83","BTN3A2"
"84","DIP2C"
"85","MAPT"
"86","PTTG1"
"87","MTTP"
"88","BTN3A1"
"89","DUSP4"
"90","EVI2B"
"91","ALDH9A1"
"92","ADAMDEC1"
"93","XPO7"
"94","FAH"
"95","IL15RA"
"96","ANXA9"
"97","CBFB"
"98","ACAA1"
"99","RUNDC3B"
"100","IL2RB"
"101","ASPA"
"102","FCGR2A"
"103","TRAF5"
"104","AFM"
"105","SASH3"
"106","HLA-DPA1"
"107","SLC12A3"
"108","TRAF3"
"109","TYROBP"
"110","CYLD"
"111","POLD3"
"112","CD38"
"113","PTPRC"
"114","LYZ"
"115","CD69"
"116","CXCL13"
"117","TLN2"
"118","FASLG"
"119","SCNN1G"
"120","IDO1"
"121","DOCK2"
"122","APOH"
"123","TRIM22"
"124","NFE2L3"
"125","ALPL"
"126","CYTH1"
"127","CD247"
"128","BTN3A3"
"129","TSPAN9"
"130","TNF"
"131","DAO"
"132","RAC2"
"133","SERPINA6"
"134","TRAT1"
"135","DOCK10"
"136","ITGB2"
"137","GPR18"
"138","HCK"
"139","MYO1F"
"140","CST7"
"141","IL12RB1"
"142","RALYL"
"143","NKG7"
"144","IL16"
"145","SLC31A1"
"146","SAMHD1"
"147","PTGDR"
"148","CCR2"
"149","PSMB8"
"150","MAP4K1"
"151","CXCR3"
"152","SELENBP1"
"153","JUNB"
"154","LPXN"
"155","LCP1"
"156","VSIG4"
"157","KHK"
"158","GPR183"
"159","CXCL11"
"160","CXCL10"
"161","TNFSF8"
"162","KNG1"
"163","ADH6"
"164","HLA-F"
"165","LAT"
"166","RAB27A"
"167","DLGAP2"
"168","DOK2"
"169","FUT6"
"170","ALAD"
"171","SLC1A3"
"172","MSH3"
"173","DYRK2"
"174","CLEC2B"
"175","RTN4"
"176","CD28"
"177","IL27RA"
"178","PIM2"
"179","SEPT6"
"180","LY9"
"181","CRLF3"
"182","ALDOB"
"183","PBX1"
"184","IL7"
"185","NCF2"
"186","NFKBIE"
"187","SLC6A13"
"188","IFITM1"
"189","GPR68"
"190","WIPF1"
"191","MNDA"
"192","PRKCH"
"193","PKP2"
"194","TRAF1"
"195","CYP4F2"
"196","ABCC1"
"197","MYC"
"198","ICAM1"
"199","RASSF2"
"200","LY96"
