"","x"
"1","RAPGEF2"
"2","YWHAZ"
"3","MLLT10"
"4","CALM1"
"5","PTPRO"
"6","UBE2G1"
"7","PTPN11"
"8","CSNK1A1"
"9","KLF12"
"10","FLI1"
"11","SFTPB"
"12","MTMR2"
"13","SORBS1"
"14","EIF4G2"
"15","PAFAH2"
"16","GAS7"
"17","RNGTT"
"18","NPFF"
"19","DFFA"
"20","UBL3"
"21","CD47"
"22","DNAH3"
"23","HOPX"
"24","ANXA11"
"25","PRUNE"
"26","TNK2"
"27","PTGDR"
"28","PTPN4"
"29","LRCH4"
"30","DLX4"
"31","XCL1"
"32","RBM5"
"33","MBNL2"
"34","PRKCH"
"35","SERBP1"
"36","ARL4C"
"37","RAB14"
"38","ELAVL1"
"39","SLC11A1"
"40","ACACB"
"41","RBBP4"
"42","PRRC2A"
"43","TACC2"
"44","BTRC"
"45","ADD2"
"46","CYB5B"
"47","VPS9D1"
"48","CHAF1A"
"49","APC"
"50","ETV3"
"51","API5"
"52","MCM3AP"
"53","SZRD1"
"54","PTPN22"
"55","ATF5"
"56","AGER"
"57","IL2RB"
"58","CD1E"
"59","SERPINB1"
"60","AK4"
"61","PRIM2"
"62","MAP4K4"
"63","BTF3"
"64","ERICH1"
"65","DOCK10"
"66","ATF1"
"67","CLINT1"
"68","PRKACB"
"69","TUBGCP4"
"70","KLRC4-KLRK1"
"71","ACTR2"
"72","PTGER1"
"73","FYN"
"74","HNRNPC"
"75","PHKA2"
"76","CYTH2"
"77","WBP4"
"78","ATP8A1"
"79","SYNCRIP"
"80","TP53BP1"
"81","KPNA1"
"82","RBP4"
"83","STRN"
"84","YPEL1"
"85","ICA1"
"86","MAP4K5"
"87","SOGA1"
"88","LMAN1"
"89","FAM131A"
"90","ITCH"
"91","SIM2"
"92","RREB1"
"93","KPNA4"
"94","KLRD1"
"95","GRB10"
"96","ARFIP1"
"97","FCGR1A"
"98","MAX"
"99","ETV1"
"100","SOX9"
"101","CHM"
"102","PTPRC"
"103","CD44"
"104","NLRP1"
"105","CBLB"
"106","RPL31"
"107","GABRB2"
"108","ANP32E"
"109","OSBP"
"110","MPZL1"
"111","AQR"
"112","GRIK5"
"113","MAPK8"
"114","ARIH2"
"115","FASLG"
"116","WIPF1"
"117","COX5B"
"118","TELO2"
"119","RGS12"
"120","NNT"
"121","RPRD2"
"122","NUP160"
"123","DOCK4"
"124","RBPJ"
"125","BRWD1"
"126","SIK3"
"127","ATP6V0A1"
"128","NCR1"
"129","MYBL1"
"130","QSOX1"
"131","ZNF207"
"132","PGGT1B"
"133","MYRIP"
"134","PRF1"
"135","ITIH4"
"136","FAM63B"
"137","UBR4"
"138","SKIV2L"
"139","GATM"
"140","TBC1D5"
"141","BTG1"
"142","UBE4B"
"143","RABEP1"
"144","ADSS"
"145","SCAMP1"
"146","GUCY1B3"
"147","DR1"
"148","SCO2"
"149","KPNA3"
"150","KLRC1"
"151","ANK1"
"152","RAB27B"
"153","TSC22D1"
"154","MBD1"
"155","SQLE"
"156","PRRC1"
"157","RANBP9"
"158","IKZF1"
"159","SEPT2"
"160","SEL1L"
"161","FMO5"
"162","BRD8"
"163","PTPN9"
"164","GNA13"
"165","LTN1"
"166","MBNL1"
"167","AEBP1"
"168","ABCB1"
"169","FBXL14"
"170","DLG1"
"171","ERAP1"
"172","NUMA1"
"173","PIK3C3"
"174","GATC"
"175","TRAPPC2"
"176","ELK4"
"177","INPP4A"
"178","PANX1"
"179","SNAP23"
"180","DNM2"
"181","MYH11"
"182","SGSM2"
"183","GTF2F2"
"184","ATF2"
"185","PHKB"
"186","SMARCA1"
"187","TGFBR3"
"188","TAZ"
"189","UPP1"
"190","NCK1"
"191","CCND2"
"192","ZNF467"
"193","UBXN1"
"194","SUPT7L"
"195","ALDH1L1"
"196","LRPAP1"
"197","ARMC8"
"198","DNAJC3"
"199","LONRF1"
"200","PWP2"
"201","PVRL2"
"202","MCCC2"
"203","TKTL1"
"204","FGFR1"
"205","AKT3"
"206","SLC25A40"
"207","DLAT"
"208","CBFA2T2"
"209","DDX18"
"210","RRAS2"
"211","CD160"
"212","P2RY10"
"213","PLEKHB2"
"214","SMAD5"
"215","PRKD3"
"216","SLC8A1"
"217","SEMA6A"
"218","PFKFB4"
"219","MAPRE2"
"220","TCF3"
"221","TRAFD1"
"222","EPHA7"
"223","CDK6"
"224","NPC1"
"225","GNAL"
"226","PREP"
"227","CYHR1"
"228","KCTD17"
"229","FAM69A"
"230","LRCH1"
"231","MPDZ"
"232","B3GAT3"
"233","CDK17"
"234","GNLY"
"235","GRM2"
"236","CLASRP"
"237","ARIH1"
"238","LRRC14"
"239","SYDE1"
"240","ACOT11"
"241","PRPF4"
"242","FBXO21"
"243","PIK3R4"
"244","PDS5B"
"245","AP2A2"
"246","FLII"
"247","CDS1"
"248","MED6"
"249","TSN"
"250","SPRY2"
"251","CAND1"
"252","ZNF24"
"253","KIF2A"
"254","KAZN"
"255","ARPP19"
"256","CCNG1"
"257","PHACTR4"
"258","BRAF"
"259","MOB1A"
"260","MFNG"
"261","ZNF787"
"262","HIRIP3"
"263","ZNF8"
"264","GNB5"
"265","SSX2IP"
"266","SPDEF"
"267","ZC3H14"
"268","H2AFX"
"269","STK39"
"270","RB1"
"271","ZNF780A"
"272","DHX30"
"273","EXOC3"
"274","KLRG1"
"275","ENPP4"
"276","NCR3"
"277","AK2"
"278","PSME3"
"279","MEF2C"
"280","ZNF548"
"281","VASH1"
"282","TIA1"
"283","ATP1A2"
"284","MTFR1"
"285","GFPT1"
"286","CEP152"
"287","TRDMT1"
"288","GABRB3"
"289","N4BP2L1"
"290","HDAC4"
"291","PMAIP1"
"292","HIRA"
"293","CEP57"
"294","PEX2"
"295","ZNF510"
"296","DZIP3"
"297","TRAK1"
"298","AGPAT2"
"299","NAALAD2"
"300","ADCY3"
"301","MAN1A2"
"302","GBP1"
"303","PARVA"
"304","FNTA"
"305","VAT1"
"306","BICD1"
"307","TPD52"
"308","PDIA3"
"309","SQSTM1"
"310","PTCH1"
"311","VSTM4"
"312","GJC2"
"313","PKM"
"314","TRAF3IP1"
"315","DTX2"
"316","CXCL5"
"317","HIPK3"
"318","ETS1"
"319","PIK3R2"
"320","HIST1H1T"
"321","PTPN12"
"322","EPN2"
"323","CCBL1"
"324","SEC23IP"
"325","CASP8"
"326","SREK1"
"327","ENSA"
"328","NBEAL2"
"329","TRIM38"
"330","DAP3"
"331","TARP"
"332","MNT"
"333","AMACR"
"334","ZP2"
"335","TP53"
"336","H2AFB1"
"337","COL4A4"
"338","SLC35A3"
"339","ZBTB11"
"340","ELK3"
"341","MATR3"
"342","RRP12"
"343","MAP2K4"
"344","STIP1"
"345","KLHL9"
"346","TOX"
"347","ARL2BP"
"348","HIC2"
"349","RIOK3"
"350","GRIA3"
"351","SMARCA2"
"352","FADS1"
"353","VEZF1"
"354","CANX"
"355","MED20"
"356","EEF1D"
"357","KLRB1"
"358","PCLO"
"359","PSMD4"
"360","PTGER4"
"361","PIP4K2A"
"362","HAPLN1"
"363","FAM168B"
"364","RPLP2"
"365","PRUNE2"
"366","ZNF75D"
"367","SNX13"
"368","SRSF10"
"369","ADD3"
"370","SLC9A8"
"371","RABL3"
"372","MARCH7"
"373","ZBTB1"
"374","FBN1"
"375","MMD"
"376","CYCS"
"377","ID4"
"378","NAV3"
"379","NOV"
"380","IRAK3"
"381","DDX11"
"382","RAP1GDS1"
"383","OVOL2"
"384","B3GNTL1"
"385","CXCL8"
"386","DES"
"387","ADCY1"
"388","GPR98"
"389","TSC2"
"390","KLHL20"
"391","PDXK"
"392","SRSF8"
"393","NPAS2"
"394","EIF4E"
"395","JAK3"
"396","NOP16"
"397","ASPH"
"398","TAP2"
"399","SMG5"
"400","FDX1"
