"","mean","sd"
"DHH",3.62057477992996,0.216756588729536
"KCNA6",3.50902987100927,0.197650569239296
"SLC22A24",3.72931124147087,0.240221049120339
"ITGAD",4.43116037804927,0.289294343199072
"PRPF8",8.35428187697602,0.40919052653164
"CAPNS1",10.3507503364476,0.434222575594867
"RPL35",10.6735322590342,0.695778300231089
"EIF3D",9.86994817171832,0.396962177928584
"PARK7",10.2089482977502,0.38963449722872
"SRP14",10.3951756970059,0.41794805202639
"RPL11",11.6736672577438,0.510392314435376
"FAU",11.9418162316272,0.42043083788224
"RPS5",11.5017438409927,0.615967620906074
"RPL27",12.0638942822698,0.558510877107569
"RPL34",10.5301866743799,0.807721272420623
"NARS",9.16061503392343,0.512368582492331
"STARD7",9.03660812997179,0.511678127120699
"RPL19",12.5098221486565,0.473503316091546
"RPL9",11.4780010944318,0.721951147330951
"RPL6",11.5443934918824,0.49921328786883
"CTDNEP1",8.20403655270574,0.333677420824219
"RTCB",7.84736875905893,0.40349463993668
"ERH",9.16220710259559,0.524018750807665
"ABCF1",7.57633864386472,0.359441429294301
"DAD1",9.12621964774824,0.405288079023561
"KAT7",7.50190763185404,0.365396554009126
"ILF2",7.78881792528192,0.54840780827073
"SPAG7",8.29951561093659,0.308068149939863
"ZPR1",6.37195512573045,0.297533817694067
"C1D",6.79319916938117,0.642170689004353
"RPL30",12.4252427474483,0.406192576028039
"SMNDC1",8.06337778870685,0.620792624803897
"ATP6V0B",10.3509906925507,0.399316157995912
"RPS25",11.0774345896431,0.525804582084595
"RPL37",12.2394328368367,0.431139421247015
"ACTN4",8.57672865989431,0.455318013720432
"AP2M1",9.79143604509257,0.400496105684557
"LASP1",10.406538325338,0.30441143250072
"CSRP1",7.76175469735036,0.397034643962626
"PTGES3",9.96613913285356,0.521651780966404
"NDRG1",8.5346707536263,0.332431648302132
"UBB",13.3530973192522,0.315551136037819
"PFN1",11.6592596324774,0.433060088435499
"SOD1",9.42372721134352,0.53527235408432
"MARCKSL1",7.97474515778964,0.49609277318526
"GABARAP",11.7554738114643,0.261066105742306
"LDHA",10.4938717924105,0.487459375084601
"SSR2",9.95444568408821,0.337035826893834
"SLC25A5",10.145777773535,0.461688626833028
"S100A11",11.218541035618,0.527720700992073
"CTSA",9.35629925309499,0.503294621397704
"CD63",10.5831765328044,0.40742568045785
"LAPTM4A",10.09419113373,0.441499420693092
"RPL32",12.764464706592,0.426229044935081
"CD81",8.52661406191648,0.605592607525018
"PTTG1IP",10.0909518303185,0.39728165647532
"GLO1",8.04403254262987,0.504917390909272
"PPP2R1A",7.57746707278519,0.297667788872842
"NPC2",10.5932896642619,0.460615415558165
"DYNLL1",9.55165222683605,0.648279151452243
"EEF1B2",10.4530605831517,0.761553287412611
"GOT2",7.33437051904188,0.465276709109129
"ACADVL",8.43274911397111,0.361875545060074
"PPP1CC",9.7140809047098,0.514373113847705
"GPX1",11.942565834818,0.4662473500328
"DPYSL2",8.74734026292673,0.755232087005064
"CTSD",7.34505186549867,0.480296243064085
"ATF4",9.82468800458175,0.341998525770767
"ANXA5",9.54398573355397,0.605120071725851
"ECH1",8.38989872529485,0.41648035028873
"ODC1",9.60849546319241,0.60713999994654
"CCT7",8.47796930528686,0.44252282467616
"PSME1",11.0612666674106,0.35770613041058
"PSMD8",8.42169614437867,0.38201193661178
"GSTP1",9.13002426803981,0.467429929341679
"HYOU1",7.51497882674435,0.361794040059696
"SNRPD2",9.26048777826463,0.661402931878008
"PLOD1",6.9318705891731,0.413724304801894
"PSMD2",8.66276263756586,0.268594919205403
"RAP1B",10.6407438155124,0.574211479326542
"BCAP31",9.28491032434125,0.414998357849533
"PPP1CA",9.76245843213226,0.340705165940241
"SARAF",10.8766799953527,0.566746438932916
"GNB2",9.44549643080335,0.400890099179832
"DHCR24",4.76651395061785,0.348569946775031
"CKB",5.53369157859121,0.387862181591403
"PGAM1",10.6798596310246,0.343140277889872
"HDGF",9.59995954179077,0.508434136251532
"SEP15",9.15962026051592,0.544569953338862
"AHCY",6.6443196631032,0.397630253019439
"CCT3",8.55157341283838,0.536003822213973
"PPM1G",7.32035413483352,0.294453655004072
"LGALS3BP",5.89447731737963,0.661563441220961
"SLC3A2",7.32725043612662,0.282263343168759
"DEK",8.78577515310881,0.73090599760913
"RPL8",11.8667292723791,0.482463959343144
"MLF2",8.14519195335725,0.423740359533322
"ARPC1A",7.74849114893922,0.359956895218657
"IMMT",8.00037862724918,0.535598467541718
"SDCBP",11.4669003123943,0.429865877696474
"SEPHS2",8.35053896759314,0.38046353524141
"PPT1",10.7671519700871,0.465927044131979
"MDH1",8.71075758666612,0.61284887122703
"SERPING1",6.04920919104032,1.1232860907491
"HIF1A",9.64753364405444,0.629506477161248
"TRIM28",8.0132357063575,0.447243849399956
"SNX17",8.85848347535192,0.381226530416125
"AARS",7.41338908173242,0.425572609425957
"SSR4",10.2890999610199,0.410099124594044
"HADHB",9.46714955985595,0.352838992332489
"RPN1",8.57781078989133,0.283938302160423
"TAF7",8.98648139361994,0.63157406356227
"BLCAP",8.36590468760233,0.357722089446714
"GNAI2",9.78899599523411,0.485735480874368
"RPS18",12.5847761588092,0.569759985285712
"PLD3",6.93137375267925,0.416005330963549
"LOC100996696",7.89633409843085,0.546919051262677
"CYC1",7.64046741490467,0.403771345659828
"TM9SF2",9.65779621717981,0.503537663072381
"ATP6V1B2",10.3959538076907,0.543868497481529
"RBBP7",8.04218310216106,0.49994748031524
"SDHA",8.50563044005255,0.332443844033599
"DAP",8.07569666763991,0.431788832638974
"LGALS1",10.5172186255522,0.649870062766041
"GPX4",10.1241418017183,0.436552650914794
"POLD2",6.39059121208728,0.399963285767844
"COX8A",10.1108414217788,0.418541149520184
"MGAT1",8.38963315265083,0.33716223874909
